,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,boa vista,2.8197,-60.6733,82.4,69,75,4.61,BR,1619450537
280,kibaya,-5.3,36.5667,67.6,72,92,4.23,TZ,1619450537
281,warrnambool,-38.3833,142.4833,53.01,96,100,5.95,AU,1619450537
282,jalu,29.0331,21.5482,81.82,19,0,7.94,LY,1619450538
283,klimovo,52.3805,32.1923,44.74,49,93,9.89,RU,1619450538
284,kulu,39.0951,33.0799,57.13,55,57,19.37,TR,1619450538
285,santiago del estero,-27.7951,-64.2615,67.19,51,0,6.24,AR,1619450373
286,dindori,22.95,81.0833,81.46,7,48,4.07,IN,1619450539
287,sahibganj,25.25,87.65,90.48,8,74,6.93,IN,1619450539
288,tateyama,34.9833,139.8667,54.0,50,40,14.97,JP,1619450540
289,broome,42.2506,-75.833,39.99,60,75,20.71,US,1619450540
290,canico,32.6333,-16.85,69.8,60,40,5.75,PT,1619450540
291,samana,19.2056,-69.3369,80.6,78,20,2.51,DO,1619450541
292,zambezi,-13.5432,23.1047,74.97,55,55,8.16,ZM,1619450541
293,san juan,-31.5375,-68.5364,69.98,41,0,3.02,AR,1619450542
294,pevek,69.7008,170.3133,14.0,94,100,2.28,RU,1619450542
295,faya,18.3851,42.4509,60.8,77,40,4.61,SA,1619450542
296,flin flon,54.7682,-101.865,35.6,69,75,6.91,CA,1619450543
297,zvishavane,-20.3267,30.0665,80.64,26,4,5.23,ZW,1619450543
298,doha,25.2867,51.5333,86.0,54,100,10.36,QA,1619450516
299,iralaya,15.0,-83.2333,86.0,74,20,10.36,HN,1619450543
300,sakakah,29.9697,40.2064,96.8,6,0,11.5,SA,1619450544
301,aklavik,68.2191,-135.0107,8.6,78,91,6.91,CA,1619450544
302,talnakh,69.4865,88.3972,10.56,87,100,8.57,RU,1619450544
303,velikiy ustyug,60.7644,46.3106,38.53,98,100,3.29,RU,1619450545
304,matara,5.9485,80.5353,80.1,83,47,3.76,LK,1619450545
305,baglan,36.1307,68.7083,72.99,35,1,2.04,AF,1619450546
306,tondano,1.3038,124.9112,75.2,94,20,1.14,ID,1619450546
307,bilma,18.6853,12.9164,106.25,6,4,10.4,NE,1619450546
308,leningradskiy,69.3833,178.4167,20.7,94,100,4.32,RU,1619450547
309,eskisehir,39.7767,30.5206,50.0,66,40,13.8,TR,1619450547
310,srandakan,-7.9386,110.2506,77.63,85,8,5.26,ID,1619450547
311,prado,-17.3411,-39.2208,83.79,62,38,10.8,BR,1619450548
312,kieta,-6.2167,155.6333,79.56,83,17,2.86,PG,1619450548
313,ghansor,22.65,79.95,87.44,8,13,5.93,IN,1619450548
314,maarianhamina,60.0973,19.9348,37.4,81,90,13.8,AX,1619450549
315,ingham,42.6,-84.3833,42.01,65,90,8.05,US,1619450549
316,haapiti,-17.5667,-149.8667,75.2,83,75,5.75,PF,1619450550
317,tsaratanana,-16.7833,47.65,76.08,81,89,7.27,MG,1619450550
318,pinyug,60.251,47.7842,36.12,98,100,4.36,RU,1619450550
319,yaan,7.3833,8.5667,99.57,31,65,4.07,NG,1619450551
320,boundiali,9.5217,-6.4869,100.42,24,72,5.57,CI,1619450551
321,almansa,38.8692,-1.0971,64.99,67,69,1.01,ES,1619450551
322,acapulco,16.8634,-99.8901,82.4,69,1,4.61,MX,1619450552
323,amudat,1.95,34.95,74.66,67,91,8.16,UG,1619450552
324,pozo colorado,-23.4923,-58.7972,74.77,36,0,7.7,PY,1619450552
325,klyuchi,52.2667,79.1667,56.55,64,100,10.94,RU,1619450553
326,krasnoarmeysk,51.0239,45.6969,55.0,6,100,3.0,RU,1619450553
327,wuda,39.4994,106.7117,48.02,20,3,10.51,CN,1619450553
328,penzance,50.1186,-5.5371,54.0,62,20,16.11,GB,1619450554
329,havoysund,70.9963,24.6622,35.6,69,75,8.05,NO,1619450554
330,krasnogorodsk,56.8357,28.2822,42.78,56,100,8.01,RU,1619450554
331,mangrol,21.1167,70.1167,82.72,73,0,13.33,IN,1619450555
332,tahta,26.7693,31.5021,87.8,20,0,18.41,EG,1619450555
333,san cristobal,7.7669,-72.225,86.0,62,40,8.05,VE,1619450555
334,brae,60.3964,-1.353,44.6,93,75,18.41,GB,1619450556
335,vredendal,-31.6683,18.5012,71.29,60,44,18.79,ZA,1619450556
336,constitucion,-35.3333,-72.4167,63.75,53,0,6.82,CL,1619450382
337,broken hill,-31.95,141.4333,59.0,55,7,9.22,AU,1619450557
338,tacuba,13.9011,-89.9297,82.4,69,0,0.87,SV,1619450557
339,kodiak,57.79,-152.4072,42.8,75,90,11.5,US,1619450471
340,nicoya,10.1483,-85.452,87.8,45,0,4.61,CR,1619450558
341,pelotas,-31.7719,-52.3425,73.4,56,40,18.41,BR,1619450558
342,tura,25.5198,90.2201,83.07,23,37,3.6,IN,1619450558
343,katsuura,35.1333,140.3,54.0,50,40,14.97,JP,1619450559
344,margate,51.3813,1.3862,48.0,55,100,7.0,GB,1619450376
345,itaituba,-4.2761,-55.9836,84.2,74,75,5.75,BR,1619450503
346,puerto rondon,6.2805,-71.1,92.41,42,63,8.19,CO,1619450559
347,morehead,37.2711,-87.1764,68.0,45,1,8.05,US,1619450560
348,afua,-0.1567,-50.3867,85.84,66,37,4.92,BR,1619450560
349,lompoc,34.6391,-120.4579,53.6,82,5,5.75,US,1619450560
350,tynda,55.1667,124.7167,36.0,95,100,6.04,RU,1619450561
351,maragogi,-9.0122,-35.2225,83.5,68,46,8.5,BR,1619450561
352,larsnes,62.2028,5.5773,48.2,45,0,6.91,NO,1619450561
353,bonthe,7.5264,-12.505,89.26,57,43,11.48,SL,1619450562
